專案名稱,關鍵字 號碼,關鍵字
氣候變遷之農業生產調適決策支援系統之建置,"[361, 576, 913, 914, 1158, 1164]","決策支援系統, 氣候變遷, 農業生產, 農業生產調適, 糧食安全, 糧食自給率"
豪雨時期短期葉菜生產及快速復耕技術,"[562, 892, 1146]","栽培, 葉菜類, 蕹菜"
應用綠肥營造環境親和型水旱田輪作經營模式,"[576, 1005, 1135]","氣候變遷, 綠肥, 環境親和型耕作模式"
冬作耐濕馬鈴薯品種選育,"[520, 634, 1120]","耐濕性, 馬鈴薯, 營養系"
氣候變遷對授粉昆蟲行為模式與生態影響及生產因應對策-設施內茄科蔬菜利用蜜蜂授粉生產之研究,"[430, 431, 576, 1019]","果實品質, 果實產量, 氣候變遷, 蜜蜂授粉"
2012米食加工趨勢國際研討會（系列一）暨「因應氣候變遷及糧食安全之農業創新研究計畫成果發表會」計畫,"[306, 674, 1149]","米食加工, 國際研討會, 趨勢"
國產米製備中式鹼麵類產品量產與推廣,"[303, 1108, 1198, 1216]","米, 餛飩, 麵條, 鹼麵"
米麵條擠壓蒸煮加工技術之研究,"[311, 1113, 1198]","米穀粉, 擠壓加工, 麵條"
國產富機能性米穀粉應用於新穎中式麵條之研發,"[295, 311, 853]","有色米, 米穀粉, 新穎中式米麵條"
辦理2012米食加工趨勢國際研討會（系列二）,"[306, 674, 1158]","米食加工, 國際研討會, 糧食安全"
強老化抗性米穀烏龍麵開發,"[311, 356, 595, 1069, 1194]","米穀粉, 抗老化, 烏龍麵, 質地輪廓分析, 糯米"
米種與添加量對米麵包及米蛋糕升糖指數之影響,"[129, 167, 303, 309, 313]","升糖指數, 水解指數, 米, 米蛋糕, 米麵包"
因應氣候變遷之多元化禽畜飼料資源與營養配方開發研究- 3.海藻飼料化應用研究,"[528, 555, 589, 948]","重金屬, 家畜禽, 海藻, 飼料"
廢菇包轉化為肉牛飼料之研究,"[728, 954, 1031]","荷蘭閹公牛, 飼料價值, 廢菇包"
樹薯替代玉米為家禽能量飼料之研究,"[285, 314, 556, 610, 954, 1087]","多元利用, 肉雞, 家禽, 能量飼作, 飼料價值, 樹薯"
以發酵程序提升雞血於飼糧之應用價值,"[817, 1026, 1184]","發酵, 價值, 雞血"
高產飼料玉米品種選育,"[199, 380, 949]","台灣, 育種, 飼料玉米"
高產??稻米品種選育及生產模式之建?-臺南區農業改良場,"[174, 644, 955]","水稻, 高產, 飼料稻"
北部地區飼料甘藷品種選育,"[486, 950, 1103]","品種, 飼料甘藷, 選育"
北部地區飼料玉米及甘藷低投入省工栽培輪作系統建立,"[224, 949, 1071]","甘藷, 飼料玉米, 輪作系統"
因應氣候變遷之多元化禽畜飼料資源與營養配方開發研究,"[191, 228, 236, 255, 279, 285, 314, 398, 457, 487, 555, 556, 610, 657, 727, 728, 730, 817, 818, 824, 951, 952, 954, 955, 1026, 1031, 1045, 1087, 1088, 1184]","代謝能, 生物可利用性, 生長性能, 白肉雞, 在地飼料資源, 多元利用, 肉雞, 乳酸菌, 芝麻粕, 品種鑑定, 家畜禽, 家禽, 能量飼作, 副產物, 荷蘭閹公, 荷蘭閹公牛, 蛋雞飼料, 發酵, 發酵雞血粉, 菇包殘基, 飼料用甘藷, 飼料安全, 飼料價值, 飼料稻, 價值, 廢菇包, 盤固草, 樹薯, 樹薯粉, 雞血"
高產飼料稻米品種選育及生產模式之建立-高雄區農業改良場,"[644, 645, 889, 953]","高產, 高蛋白, 落粒性, 飼料米"
高產??稻米品種選育及生產模式之建?-農業試驗所,"[174, 955, 956, 1010, 1164]","水稻, 飼料稻, 飼料稻米, 聚合育種, 糧食自給率"
提升飼料米產量與糙米粗蛋白質含量之關鍵性管理技術研究,"[101, 197, 955]","土壤管理組, 可消化養分總量, 飼料稻"
台灣地區推廣種植飼料稻米之經濟效益研究,"[881, 928, 956]","經濟效益, 農業部門, 飼料稻米"
台灣中部颱風災害前後果樹營養管理調整研究,"[131, 753, 1023]","天然災害, 復育, 颱風"
臺灣西南海域海洋水文環境與漁業資源漁場變動監測研究,"[154, 412, 963]","水文環境, 底拖網, 漁場"
流失番荔枝果園之復耕技術研究及鳳梨釋迦果園防風栽培模式之建立,"[392, 811, 1025]","防風栽培技術, 番荔枝, 鳳梨釋迦"
颱風前後青蔥採後處理及快速加工利用之研究,"[152, 193, 465, 692]","水分含量, 加工, 青蔥, 採收後處理"
臺灣南部木瓜、文旦柚颱風、豪雨前後栽培管理及復育技術之建立,"[139, 145, 399, 576, 754, 825]","文旦柚, 木瓜, 亞磷酸, 氣候變遷, 復育技術, 菌根菌"
降雨變化對茶葉生育之影響與對策之研究,"[532, 576, 617]","降雨變化, 氣候變遷, 茶"
因應氣候變遷森林生長環境脆弱指標及調適策略研究（1/4）,"[92, 247, 249, 614, 773, 836]","土砂災害, 生態脆弱度, 生態模型, 航遙測, 森林動態樣區, 集水區"
國產糧食之緊急採收貯藏與長期天然貯藏系統之研發,"[488, 584, 1052, 1055]","品質, 氣調貯藏, 窯洞貯藏, 蔬菜"
豪雨災後高致病性之作物病害種類調查及管理,"[600, 706, 997, 1055]","病害, 淹水, 管理, 蔬菜"
養殖生產區防洪研究,"[283, 1053, 1082]","地理資訊系統, 線上查詢系統, 養殖漁業生產區"
溫室環境精準調控應用於茄科蔬菜生產,"[185, 526, 860, 1040, 1127]","牛番茄, 茄科蔬菜, 溫室, 熟果甜椒, 環境控制"
建立區域性畜禽糞生質能發電模式之研究計畫,"[250, 437, 558, 596, 816, 871, 1095, 1140]","生質能, 沼氣, 家禽場, 畜禽糞, 發電, 禽糞, 燃燒, 糞便"
設施蔬菜節能及自動化灌溉生產體系之開發與應用,"[733, 789, 810, 960]","設施栽培, 植物工廠, 番茄, 滴灌"
利用農業廢棄物開發多功能育苗容器之研究,"[525, 618, 1030]","苗盆, 茶葉, 廢棄物"
農產廢棄物稻殼稻桿回歸農田再利用之研究,"[931, 972, 1097]","農業廢棄物, 碳化稻殼, 膨化稻稈"
組織培養節能設備及技術之開發,"[134, 260, 261, 262, 722, 812, 845, 876]","太陽能, 光週期, 光量度, 光質, 組織培養, 發光二極體, 塑膠培養瓶, 節約能源"
因應氣候變遷之國際農業科技交流合作-抗、耐逆境水稻品種之開發,"[208, 267, 514, 632, 670, 995, 1050]","外表型評估, 全球氣候變遷, 耐逆境基因, 逆境調適能力之水稻, 國際合作, 種原評估/交換, 稻熱病/白葉枯病"
氣候變遷逆境對植物生理與病理所產生之影響,"[120, 576, 790, 792, 863, 979]","元素分析, 氣候變遷, 植物生理, 植物病理, 溫度, 碳測定"
強化稻作育種技術以因應暖化衝擊及提升糧食自給率 (IRRI)_1. 抗稻熱病品種選育,"[176, 576, 631, 1049]","水稻自給率, 氣候變遷, 逆境耐/抗性, 稻熱病"
水產尖端技術研習與學術交流－赴美國進行氣候變遷對海洋漁業影響之研究及技術交流,"[283, 576, 1063, 1214]","地理資訊系統, 氣候變遷, 衛星遙測影像, 鰹鮪圍網漁業"
氣候變遷下媒介昆蟲預測系統在防治上之應用,"[235, 576, 1147]","生物積溫模式, 氣候變遷, 薊馬"
其他農產貿易問題相關研究,"[82, 188, 543, 544, 571, 576, 830, 879, 909, 929, 932, 1143, 1158]","WTO, 世界貿易組織, 食品安全現代化法案, 食品安全檢驗與動植物防檢疫措施協定, 氣候智慧農業, 氣候變遷, 貿易政策檢討, 經濟合作與發展組織, 農產品供應鏈, 農業貿易, 農業談判, 聯合國世界糧農組織, 糧食安全"
台灣糧食生產氣候風險評估資訊平台之建置,"[342, 530, 576, 1158]","作物模式, 降尺度, 氣候變遷, 糧食安全"
農業氣象觀測及災害風險評估,"[576, 579, 648, 923]","氣候變遷, 氣象災害, 高溫害, 農業氣象"
評估氣候變遷對農業乾旱風險之衝擊,"[534, 576, 651]","風險, 氣候變遷, 乾旱"
氣候變遷對農業灌溉水源供給風險之評估,"[538, 576, 1206]","風險評估, 氣候變遷, 灌溉用水"
因應糧食安全之作物需水量風險分析,"[341, 538, 576]","作物需水量, 風險評估, 氣候變遷"
水庫灌區因應全球氣候變遷地下水補充灌溉用水調配分析,"[160, 280, 317]","水庫, 地下水, 自適應性神經模糊推理系統"
氣候變遷下高屏溪流域水源風險評估,"[130, 136, 266, 538, 576, 641]","天氣繁衍器, 支援向量機, 全球氣候模式, 風險評估, 氣候變遷, 高屏溪流域"
考量農業用水之水資源經理方案決策分析,"[171, 173, 360, 379, 576, 663]","水資源經理方案決策分析, 水資源調配模式, 求償性序率規劃決策模式, 系統動力學, 氣候變遷, 區域水資源"
以DSSAT模式探討氣候變遷對水稻產量及灌溉需水量之影響,"[20, 174, 576, 1211]","DSSAT作物模式, 水稻, 氣候變遷, 灌溉需水量"
韌性理論應用於氣候變遷對灌溉系統及產量之影響評估,"[576, 713, 838, 1208]","氣候變遷, 產量, 韌性理論, 灌溉系統"
良質米研究團隊─台灣小麥品質地圖的建立與稻麥栽培系統之環境影響評估,"[112, 227, 576, 1047, 1129]","小麥品質, 生命週期評估, 氣候變遷, 稻麥系統, 環境衝擊"
梨生產調節與改進之研究,"[328, 349, 432, 576, 680, 701, 834, 973]","低需冷性梨, 冷藏需求, 果實儲藏, 氣候變遷, 寄接梨, 梨穗品種, 鈣, 碳水化合物"
因應氣候變遷野生動物之人畜共通病原監測及特性分析,"[490, 658, 1011]","恆溫增幅法, 副黏液病毒, 聚合?鏈反應"
氣候變遷對水生動物人畜共通傳染病之影響與因應對策之研究,"[163, 293, 576, 597, 720]","水產動物, 早期預警, 氣候變遷, 疾病, 細菌"
氣候變遷對人畜共通傳染病之影響與防疫策略資訊之收集與研析,"[58, 283, 576, 870, 938]","Q熱, 地理資訊系統, 氣候變遷, 禽流感, 鉤端螺旋體病"
因應氣候變遷強化草食及水生動物人畜共通傳染病診治訓練計畫,"[155, 329, 623, 628]","水生動物, 住院醫師, 草食動物, 訓練計畫"
氣候變遷對太平洋及大西洋鮪旗魚類漁海況之影響分析,"[103, 133, 959, 1153, 1154]","大西洋, 太平洋, 旗魚, 鮪魚, 鮪漁場學"
氣候變遷對印度洋鮪旗魚類漁海況之影響分析,"[273, 464, 842, 1154]","印度洋, 長鰭鮪, 黃鰭鮪, 鮪漁場學"
氣候變遷下坡地災害潛勢評估及調適策略制定之研究,"[88, 409, 576, 682]","土石流, 坡地防災, 氣候變遷, 崩塌"
因應氣候變遷重點集水區保育策略之研究(2/2),"[478, 529, 576]","保育策略, 重點集水區, 氣候變遷"
氣候變遷下廣泛分布樹種之選育與利用(3/4),"[576, 593, 678, 990, 1034, 1138, 1200]","氣候變遷, 烏心石, 培育苗木, 種子儲藏和發芽, 樟樹, 穗條嫁接, 櫸樹"
出席聯合國氣候變化綱要公約第19屆締約國會議暨京都議定書締約國第9屆締約國大會,"[575, 779, 999]","氣候變化綱要公約第19次締約國會議暨京都議定書生效後第9屆簽約國會, 森林碳, 管理資訊系統"
氣候變遷下福山試驗林動物群聚之變動,"[576, 659, 661]","氣候變遷, 動物多樣性, 動物群聚"
氣候變遷對於蕨類物候之影響(3/5),"[441, 576, 1100]","物候, 氣候變遷, 蕨類"
因應氣候變化之永續森林經營策略分析(2/4),"[110, 215, 576, 780, 978]","小規模林業, 永續森林經營, 氣候變遷, 森林認證, 碳林業"
環境變遷對台灣高山生態系影響之研究(2/2),"[106, 438, 970, 1061]","大蚊科, 爬蟲類, 監測, 蝶類群聚"
因應氣候變遷之生物多樣性脆弱度評估與風險管理研究,"[229, 242, 444, 447, 576, 768, 772, 784, 885, 1068, 1105]","生物多樣性, 生態系, 物候變動, 物種分佈, 氣候變遷, 森林交會帶變動, 森林動態, 棲地片段化, 群落, 調適策略, 遺傳多樣性"
建構糧食安全應變機制提升糧食安全決策之研究,"[278, 294, 1158, 1161]","因應策略, 早期預警系統, 糧食安全, 糧食安全指標"
研析我國家計單位糧食安全水準及提升策略之研究,"[554, 1158, 1160]","家計單位糧食安全, 糧食安全, 糧食安全水準"
改善國人膳食結構提升國產消費對策之研究,"[351, 591, 1099, 1166]","均衡飲食, 消費對策, 膳食結構, 糧食消費成績"
推動六級產業發展促進國產消費之研究,"[123, 667, 1164]","六級產業, 國產農產品, 糧食自給率"
氣候變遷下農地調適之執行機制與管理措施研究,"[281, 576, 900]","地方調適, 氣候變遷, 農地"
農民對氣候變遷的風險知覺及災後調適策略之研究－以高屏地區蓮霧果農為例(2/2),"[364, 536, 576]","災後調適, 風險知覺, 氣候變遷"
國際糧食援助與儲備機制研究,"[1158, 1167, 1169]","糧食安全, 糧食援助, 糧食儲備"
主要糧食運銷與庫存之研究,"[287, 665, 851, 936]","存貨調查, 國內供給分配, 損耗, 運銷通路"
主要糧食消費資訊蒐集之研究,"[190, 724, 1157]","主要糧食消費, 統計制度, 糧食平衡表"
農民對氣候變遷的風險知覺、決策行為及災後調適策略推動模式之研究,"[319, 576, 721]","行動研究, 氣候變遷, 組織動員"
小麥耐熱品系選育,"[111, 380, 517, 1104]","小麥, 育種, 耐熱, 選拔"
因應氣候變遷之水稻抗白葉枯病新品系研發,"[126, 174, 256]","分子標誌輔助選拔, 水稻, 白葉枯病"
氣候變遷對台灣高海拔地區野生動物指標類群族群變動之影響(2/4),"[199, 438, 462, 492, 637, 660, 856, 971, 1056, 1059, 1142]","台灣, 爬蟲類, 長期監測, 指標物種, 高山地區, 動物相, 楚南氏山椒魚, 監測模式, 蝙蝠類, 蝴蝶類, 繁殖鳥類"
水稻耐熱品種篩選及因應高溫栽培技術之研究,"[174, 486, 517]","水稻, 品種, 耐熱"
氣候變遷對授粉昆蟲行為影響及生產因應對策,"[318, 576, 690]","行為生態, 氣候變遷, 授粉昆蟲"
耐旱山藥及耐寒玉米之種原篩選與繁殖,"[331, 576, 992]","作物生產, 氣候變遷, 種原"
茶及油茶耐低溫、高溫及乾旱品系選育及產品之開發,"[436, 617, 630, 1103]","油茶, 茶, 逆境, 選育"
冬茶暖冬與春茶低溫對茶業產製銷及共同物流需求之研究,"[324, 403, 440, 617, 855]","低溫, 供應, 物流, 茶, 暖冬"
耐熱性紅豆種原篩選及品種選育,"[486, 504, 992, 1096, 1103]","品種, 紅豆, 種原, 篩選, 選育"
因應氣候變遷之國際農業科技交流合作-抗、耐逆境水稻品種之開發(2),"[208, 267, 514, 632, 670, 748, 995, 1050]","外表型評估, 全球氣候變遷, 耐逆境基因, 逆境調適能力之水稻, 國際合作, 單一核?酸多型性, 種原評估/交換, 稻熱病/白葉枯病"
耐逆境牛樟、泡桐與雜交桉種原選拔與利用(2/4),"[186, 513, 1179, 1180]","牛樟, 耐逆境, 雜交泡桐, 雜交桉"
耐熱性小麥及大豆種原篩選及繁殖,"[104, 111, 994]","大豆, 小麥, 種原評估"
水稻耐熱性快速篩選模式建立及種原評估,"[174, 649, 992]","水稻, 高溫逆境, 種原"
「因應氣候變遷及糧食安全之農業創新研究」計畫之農研評析與管理,"[576, 913, 1158, 1164]","氣候變遷, 農業生產, 糧食安全, 糧食自給率"
耐濕冷馬鈴薯品種選育,"[324, 520, 634, 1111, 1120]","低溫, 耐濕性, 馬鈴薯, 儲藏, 營養系"
設施內茄科蔬菜利用蜜蜂授粉生產之研究,"[430, 431, 576, 1019]","果實品質, 果實產量, 氣候變遷, 蜜蜂授粉"
建立國產米飯升醣指數資料促進米食消費之研究,"[129, 167, 303, 310, 694]","升糖指數, 水解指數, 米, 米飯, 推算升糖指數"
彙整國際米食加工發展趨勢，並辦理促進米食加工技術交流國際研討會暨專業座談會,"[193, 305, 501]","加工, 米食, 研討會"
因應氣候變遷強化發芽稻穀應用之研究,"[814, 846, 849, 1051]","發芽, 微(粉)化, 微膠囊化, 稻穀"
提昇糧食安全強化國產米新用途–開發蒟蒻米產品,"[311, 545, 1018, 1158]","米穀粉, 食品擠壓技術, 蒟蒻粉, 糧食安全"
提昇糧食安全強化國產米新用途開發–速食麵產品,"[311, 350, 737]","米穀粉, 吸油率, 速食麵"
提昇糧食安全強化國產米儲存技術及流通性之研究,"[736, 944, 945, 1093, 1094]","速食米飯, 預煮米, 預糊化米, 澱粉老化, 澱粉糊化"
草生栽培對粘板岩沖積土壤碳匯和葡萄調適極端氣候之影響,"[99, 622, 859, 895]","土壤碳匯, 草生栽培, 極端氣候, 葡萄"
原生蔬菜長蒴黃麻耐熱性評估及營養成份分析,"[238, 463, 517, 550, 1116]","生理指標, 長蒴黃麻, 耐熱, 原生蔬菜, 營養"
臺東地區原生蔬菜耐旱種原篩選及栽培研究,"[510, 550, 576]","耐旱性, 原生蔬菜, 氣候變遷"
宜花地區重要原生蔬菜生產技術與耐逆境評估,"[156, 550, 630, 809, 890, 1195]","水生植物, 原生蔬菜, 逆境, 番杏, 落葵, 糯米團"
嘉南地區環境親和型旱田輪作經營模式,"[251, 505, 522, 709, 843, 1004, 1148]","田菁, 紅高粱, 胡麻, 甜玉米, 黑豆, 綠豆, 薏苡"
原生蔬菜-紅茄耐逆境生產模式建立,"[472, 576, 630]","非洲紅茄, 氣候變遷, 逆境"
土壤肥力診斷與改良應用於環境親和型水稻玉米等栽培制度管理,"[94, 95, 97, 344, 576, 607, 1204]","土壤改良, 土壤肥力, 土壤診斷, 作物營養, 氣候變遷, 耕作制度, 灌溉水品質"
氣候變遷對農業生態系之影響長期觀測,"[229, 461, 915]","生物多樣性, 長期生態研究, 農業生態系"
環境親和型原民蔬菜繁殖與評估,"[549, 1132, 1141]","原民蔬菜, 環境親和型, 繁殖"
廢菇包添加樹薯粉製作肉牛用青貯料之研究,"[728, 954, 1031, 1088]","荷蘭閹公牛, 飼料價值, 廢菇包, 樹薯粉"
因應全球性極端氣候及糧食危機，開發多元化飼料原料-樹薯替代玉米為家禽能量飼料之研究,"[236, 314, 610, 1087]","生長性能, 肉雞, 能量飼作, 樹薯"
發酵雞血粉搭配樹薯粉於童子雞飼糧之應用,"[191, 228, 818, 1088]","代謝能, 生物可利用性, 發酵雞血粉, 樹薯粉"
高產飼料稻米品種選育及生產模式之建立-臺南區農業改良場,"[174, 644, 948]","水稻, 高產, 飼料"
飼料甘藷品種選育-桃園區農業改良場,"[486, 950, 1103]","品種, 飼料甘藷, 選育"
北部地區飼料甘藷低投入省工栽培系統建立,"[224, 323, 565]","甘藷, 低投入, 栽培系統"
提升飼料稻米產量與糙米粗蛋白質含量之關鍵性管理技術研究,"[96, 101, 197, 719, 955, 956]","土壤氮素供應, 土壤管理組, 可消化養分總量, 粗蛋白質, 飼料稻, 飼料稻米"
飼料玉米耐浸水種原之篩選與利用,"[211, 218, 512, 815]","幼苗期, 玉米自交系, 耐浸水, 發芽率"
飼料甘藷品種選育,"[224, 609, 729, 948, 1092]","甘藷, 胰蛋白?活性, 蛋白質, 飼料, 澱粉"
臺灣中部颱風災害前後果樹防災管理之研究,"[131, 433, 753, 808, 891, 1023]","天然災害, 果樹, 復育, 番石榴, 葉面施肥, 颱風"
氣候變遷對臺灣西南海域主要經濟性魚種資源與漁場影響之研究,"[154, 406, 412, 413, 576, 963]","水文環境, 刺鯧, 底拖網, 底棲魚類, 氣候變遷, 漁場"
臺灣南部木瓜、文旦柚淹水前後栽培管理及復育技術之建立,"[139, 145, 292, 399, 576, 754, 825]","文旦柚, 木瓜, 扦插, 亞磷酸, 氣候變遷, 復育技術, 菌根菌"
因應氣候變遷森林生長環境脆弱指標及調適策略研究（2/4）,"[92, 247, 249, 614, 773, 836]","土砂災害, 生態脆弱度, 生態模型, 航遙測, 森林動態樣區, 集水區"
豪雨災後高致病性之蔬菜病害種類調查及管理,"[600, 706, 997, 1055]","病害, 淹水, 管理, 蔬菜"
因應突發氣象災害蔬菜緊急處理氣調貯藏技術與設備之研發,"[488, 584, 1055]","品質, 氣調貯藏, 蔬菜"
養殖生產區防洪研究-養殖生產區進排水路查詢系統擴充及防災應變研究,"[283, 1053, 1082]","地理資訊系統, 線上查詢系統, 養殖漁業生產區"
農產廢棄物稻殼稻草回歸農田再利用之可行性研究,"[867, 931, 972]","碎化稻草, 農業廢棄物, 碳化稻殼"
主要糧食與蔬果天然貯藏系統之研發,"[348, 757, 1052]","冷藏, 普通貯藏, 窯洞貯藏"
減緩牛隻因氣候變化引發生乳高體細胞數之營養策略- 維生素與礦物質,"[301, 726, 1006, 1212, 1215]","有機鉻, 荷蘭泌乳牛, 維生素C, 鐵, 體細胞數"
夏季型短期芻料作物生產研究─青割玉米與高粱混植生產,"[217, 576, 615, 650, 704]","玉米, 氣候變遷, 芻料生產, 高粱, 混植"
氣候變遷下抗逆境飼料作物之生產與利用,"[193, 669, 691, 1087]","加工, 國際交流, 採收, 樹薯"
強化稻作育種技術以因應暖化衝擊及提升糧食自給率-抗白葉枯病品種選育,"[174, 256, 576]","水稻, 白葉枯病, 氣候變遷"
因應氣候變遷建構雲林縣蓮霧新產區示範圃,"[257, 712, 1054]","示範圃, 產期調節, 蓮霧"
氣候變遷對畜牧及作物生產之影響,"[576, 689, 893, 940, 1199]","氣候變遷, 掃描式電子顯微鏡用微電腦斷層儀, 葉綠素螢光影像分析儀, 電腦自動化擠乳設備, 攜帶式光合作用葉綠素螢光分析儀"
