機率,關鍵字
0.85114264,氣候變遷
0.06112684,水稻
0.03193472,飼料
0.02977703,氣象災害
0.00617148,風險評估
0.00444645,農業氣象
0.00204885,能量飼作
0.00157937,肉雞
0.00155116,生長性能
0.00104142,高溫害
0.00099515,外表型評估
0.00079182,逆境調適能力之水稻
0.00074994,海藻
0.00074458,種原評估/交換
0.00071632,全球氣候變遷
0.00070756,耐逆境基因
0.00067728,稻熱病/白葉枯病
0.00047834,白葉枯病
0.0004175,樹薯
0.00038213,蟲害
0.00032006,生態
0.00031971,病蟲害
0.00024289,病害
0.0002327,自給率
0.00020042,茶
0.0001996,國際合作
0.00016847,逆境耐/抗性
0.00016775,單一核?酸多型性
7.75E-05,家畜禽
7.70E-05,澱粉
5.08E-05,森林生態系調適
4.07E-05,重金屬
4.03E-05,高產
3.83E-05,蛋白質
3.82E-05,魚
1.43E-05,Annual National Inventory Report
1.37E-05,國家清冊計算
1.27E-05,作物需水量
1.25E-05,Forest Certification
1.12E-05,REDD+
9.71E-06,Invasive Alien Species
9.55E-06,日本森林保健學會
8.05E-06,POMS
7.98E-06,FFPRI
7.87E-06,Forest Habitat
7.81E-06,Climate change
6.43E-06,天氣繁衍器
6.38E-06,Recovery
6.35E-06,Recreation and Conservation conflict
6.34E-06,植食性
6.32E-06,自然資源管理
6.24E-06,Biodiversity Adaptation
6.18E-06,Recreational Facilities
5.99E-06,遊憩與保育衝突
5.98E-06,木造建築保存技術
5.96E-06,熱耐受性
4.86E-06,京都議定書
4.85E-06,Disaster risk assessment
4.83E-06,生物多樣性調適
4.74E-06,Forest Industry Culture
4.74E-06,Climate Change
4.73E-06,森林療癒
4.72E-06,Urban Natural Resources Stewardship
4.71E-06,Mountain lacustrine and palustrine
4.70E-06,外來物種入侵
4.70E-06,Forestry Carbon Sequestration
4.69E-06,Restoration
4.67E-06,Forestry and Forest Products Research Institute
4.61E-06,追求健康促進
4.61E-06,琵琶湖
4.54E-06,保育
4.54E-06,Forest wetland
3.29E-06,林業文化園區
3.22E-06,恢復
3.20E-06,Forest Industry Cultural Park
3.11E-06,林業碳匯
3.08E-06,遊憩設施
3.08E-06,森林經營水平
3.07E-06,International Society of Nature and Forest Medicine
1.70E-06,Repurposing of Unused Space
1.69E-06,COP21
1.67E-06,The Society of Forest Amenity and Human Health Promotion In Japan)
1.65E-06,閒置空間再利用
1.64E-06,森林濕地
1.64E-06,Wooden building preservation techniques
1.62E-06,聯合國氣候變遷綱要公約第21次締約國會議
1.60E-06,The profile of mood states
1.59E-06,森林棲地
1.59E-06,國際自然暨森林醫學協會
1.59E-06,Carbon Trading
1.58E-06,林產業遺跡展示規劃
1.57E-06,日本國立森林綜合研究所
1.57E-06,Biwa Lake
1.56E-06,Forest Therapy
1.55E-06,碳交易
1.53E-06,綠色基礎建設
1.52E-06,復原
1.50E-06,Forest management unit level
0,ＳＷＭＭ水文模式
0,龍鬚菜
0,黑豆
0,黃麴毒素
0,黃鰭鮪
0,黃豆
0,黃花粉蚜
0,麵條
0,鹿慢性消耗病
0,鹼麵
0,鳳梨釋迦
0,鳳梨
0,鰹鮪圍網漁業
0,鰹鮪圍網
0,鮪魚
0,鮪釣漁業
0,鮪漁場學
0,鮪延繩釣
0,魚類
0,魚酥
0,魚漿
0,高蛋白
0,高粱
0,高溫逆境
0,高溫
0,高湯
0,高海拔山區草原生態系
0,高接梨
0,高山植物
0,高山地區
0,高山
0,高屏溪流域
0,高夜溫逆境
0,高光譜
0,體細胞數
0,馬鈴薯澱粉
0,馬鈴薯
0,香蕉
0,餛飩
0,養蜂技術
0,養牛場
0,養殖漁業生產區
0,養殖漁業
0,養分收支
0,飼料米
0,飼料稻米
0,飼料稻
0,飼料用甘藷
0,飼料甘藷
0,飼料玉米
0,飼料安全
0,飼料價值
0,食物里程
0,食物哩程
0,食品擠壓技術
0,食品安全現代化法案
0,食品安全檢驗與動植物防檢疫措施協定
0,颱風
0,風險認知
0,風險管理
0,風險知覺
0,風險指標
0,風險分析
0,風險
0,類神經網路
0,頻率分析
0,預防
0,預警系統
0,預警制度
0,預糊化米
0,預煮米
0,預測模型
0,預報
0,韌性理論
0,非農藥防治
0,非農藥資材
0,非用材林產物
0,非生物性逆境容忍
0,非生物性逆境
0,非生物型逆境
0,非洲茄
0,非洲芥藍
0,非洲紅茄
0,非油炸
0,青蔥
0,霪雨
0,霜害
0,電腦自動化擠乳設備
0,零慣性波
0,雲端演算
0,離子滲漏
0,雞血
0,雜草防治
0,雜草管理
0,雜糧玉米
0,雜交玉米
0,雜交泡桐
0,雜交桉
0,雜交
0,集水區
0,隨機森林
0,陸稻
0,降雨變化
0,降雨型態
0,降溫畜舍
0,降尺度
0,防風網
0,防風栽培技術
0,防護
0,防疫
0,防災社區
0,防災栽培曆
0,防災
0,防減災策略
0,防治策略
0,防治曆
0,防曬
0,關聯式資料庫管理系統
0,長鰭鮪
0,長蒴黃麻
0,長期監測
0,長期生態研究
0,鐵
0,銀葉粉蝨
0,鉤端螺旋體病
0,鈣
0,金針
0,野生動物保育醫學
0,重點集水區
0,重大人畜共通傳染病
0,酥皮
0,配水
0,鄉村社區
0,都市林
0,遺傳多樣性
0,選育
0,選拔
0,遮雨棚
0,遮陰
0,遮光
0,適應氣候的水稻
0,適應性經營
0,適口性
0,過漁指數
0,運銷通路
0,進口禽肉
0,速食麵
0,速食米飯
0,速食
0,通量
0,逆境
0,農藥
0,農產品供應鏈
0,農業風險
0,農業部門
0,農業貿易
0,農業談判
0,農業經營主體
0,農業用水
0,農業生產調適
0,農業生產
0,農業生態系
0,農業災害情網
0,農業災害
0,農業氣象觀測網監控系統
0,農業氣象觀測網
0,農業氣象觀測
0,農業氣象災害
0,農業政策
0,農業廢棄物
0,農業天然災害保險
0,農業多功能
0,農業保險
0,農業
0,農林損害
0,農場經營
0,農地資源空間規劃
0,農地調適規劃
0,農地脆弱度
0,農地利用
0,農地儲備
0,農地
0,農作物有害生物
0,農作物
0,轉色期
0,轉換速率
0,輸入禽鳥
0,輪灌
0,輪作系統
0,輪作
0,趨勢
0,質地輪廓分析
0,資通訊技術
0,資源評估
0,資源承載量
0,資料庫
0,貿易自由化指標
0,貿易政策檢討
0,豪雨
0,豆科牧草
0,調適策略
0,調適措施
0,調度水價
0,評估
0,設施栽培
0,設施
0,訓練計畫
0,訓練
0,觀測
0,覆蓋
0,西尼羅熱
0,褐飛蝨
0,複合型氣象逆境
0,裂果
0,衛星遙測影像
0,衛星遙測
0,術值高程模式
0,行為生態
0,行動研究
0,蟲生真菌
0,蟲生病原真菌
0,螢光反應
0,蝶類群聚
0,蝶類
0,蝴蝶類
0,蝦蟹類
0,蝦皮
0,蝙蝠類
0,蜥蜴類
0,蜜蜂授粉
0,蛋雞飼料
0,藻礁
0,薏苡
0,薊馬
0,蕹菜
0,蕨類
0,蔬菜
0,蓮霧
0,蒟蒻粉
0,葡萄
0,著果
0,葉面施肥
0,葉菜類
0,葉綠素螢光影像分析儀
0,葉?
0,落葵
0,落花生
0,落粒性
0,落果
0,菌根菌
0,菇包殘基
0,荷蘭閹公牛
0,荷蘭閹公
0,荷蘭泌乳牛
0,荔枝
0,草食動物
0,草莓
0,草生栽培
0,草本層
0,草原植群
0,茶葉選購
0,茶葉
0,茶樹有害生物
0,茭白筍
0,茄科蔬菜
0,苗盆
0,芽孢桿菌
0,芽休眠打破
0,芻料生產
0,芝麻粕
0,芒果果園
0,芒果
0,芋頭
0,芋
0,航遙測
0,臺美科技交流
0,臺灣藜
0,臺灣破傘菊
0,臺灣
0,臺南11號
0,臺?9號
0,致災氣象指標
0,臭氧
0,自適應性神經模糊推理系統
0,膳食結構
0,膨壓
0,膨化稻稈
0,脫酸
0,脆弱度評估
0,脆弱度
0,胰蛋白?活性
0,胡麻
0,胡蘿蔔
0,胡瓜
0,育種
0,肥培管理
0,聯合國氣候變化綱要公約
0,聯合國世界糧農組織
0,聚合育種
0,聚合?鏈反應
0,聖嬰現象
0,耕作試驗
0,耕作制度
0,耐高溫
0,耐逆境
0,耐熱篩選
0,耐熱性
0,耐熱
0,耐濕性
0,耐浸水
0,耐旱特性
0,耐旱性
0,耐旱
0,耐寒
0,群落
0,繼續教育
0,繁殖鳥類
0,繁殖
0,線上查詢系統
0,網格化
0,網室栽培
0,維生素E
0,維生素C
0,綠豆
0,綠肥
0,綜合適合度指數
0,經貿自由化
0,經濟效益
0,經濟損失評估
0,經濟損失
0,經濟性狀
0,經濟影響
0,經濟合作與發展組織
0,絲瓜萎凋
0,統計制度
0,組織培養技術
0,組織培養
0,組織動員
0,細菌
0,紫苞舌蘭
0,素食
0,紐西蘭保育部
0,紅龍果
0,紅高粱
0,紅豆
0,紅樹林
0,紅斑
0,系統回饋式模組
0,系統動力學
0,糯米團
0,糯米
0,糧食自給率
0,糧食消費成績
0,糧食援助
0,糧食平衡表
0,糧食安全體系
0,糧食安全策略地圖
0,糧食安全水準
0,糧食安全指標
0,糧食安全分級管理體系
0,糧食安全
0,糧食增產制度
0,糧食儲備機制
0,糧食儲備
0,糧食作物
0,糞便
0,糙米
0,粿
0,精緻化預報
0,粗蛋白質
0,粉介殼蟲
0,米麵包
0,米飯
0,米食加工
0,米食
0,米蛋糕
0,米薯條
0,米脂
0,米粉絲
0,米籽條
0,米穀粉
0,米
0,籌供體系
0,篩選
0,節能
0,節肢動物
0,節約能源
0,節水灌溉
0,節水
0,管理資訊系統
0,管理策略
0,管理
0,策略規劃
0,策略地圖
0,策略
0,窯洞貯藏
0,窪陷填平
0,空間降尺度
0,空間資訊
0,穩定化
0,穗條嫁接
0,穗上發芽
0,稻麥系統
0,稻米品質
0,稻穀
0,稻種原
0,稻熱病
0,種苗處理
0,種子造粒
0,種子調製
0,種子膜衣
0,種子滲調
0,種子採集和發芽
0,種子披衣
0,種子層積
0,種子儲藏和發芽
0,種子倉儲
0,種原評估
0,種原保存
0,種原
0,稜角絲瓜
0,秧苗期
0,科學
0,秋刀魚
0,秈米
0,禽糞
0,禽流感
0,社經脆弱度
0,示範圃
0,碳足跡
0,碳積存
0,碳測定
0,碳水化合物
0,碳標籤
0,碳林業
0,碳吸收
0,碳吸存
0,碳化稻殼
0,碎米
0,碎化稻草
0,碎化稻稈
0,硼
0,硒
0,研討會
0,知識系統
0,知識管理
0,直接給付
0,盤固草
0,監測模式
0,監測
0,監控與預測
0,白肉雞
0,發電
0,發酵雞血粉
0,發酵
0,發芽率
0,發芽
0,發育物候
0,發光二極體
0,病蟲害管理
0,病毒病
0,病毒
0,疾病
0,疏果
0,異地復育
0,番荔枝
0,番茄
0,番石榴
0,番杏
0,畜禽糞
0,田間耗水量
0,田間灌溉管理
0,田間灌溉用水量
0,田菁
0,產量與米質
0,產量
0,產業結構
0,產期調節
0,產孢
0,生長模式
0,生質能
0,生育期
0,生育度數
0,生產
0,生理指標
0,生物能源
0,生物積溫模式
0,生物性逆境
0,生物性與非生物性逆境
0,生物多樣性
0,生物型逆境
0,生物可利用性
0,生態脆弱度
0,生態系統服務
0,生態系服務
0,生態系
0,生態模型
0,生態棲位
0,生態旅遊活動
0,生態旅遊
0,生態友善環境
0,生命週期評估
0,甜玉米
0,甜椒
0,甘藷
0,瓜類蔬菜
0,瓜實蠅
0,環控技術
0,環境變遷
0,環境親和型耕作模式
0,環境親和型耕作制度
0,環境親和型技術
0,環境親和型
0,環境親和
0,環境親合型耕作制度
0,環境衝擊
0,環境監測
0,環境控制
0,環境因子
0,環境信託組織
0,環境
0,珊瑚礁生態系
0,珊瑚礁
0,玉米褪綠斑駁病毒
0,玉米薊馬
0,玉米自交系
0,玉米種質
0,玉米
0,獸醫師
0,物種轉換
0,物種分布模式
0,物種分布
0,物種分佈
0,物流
0,物候資訊系統
0,物候變動
0,物候期
0,物候
0,牧草生產
0,牛番茄
0,牛流行熱
0,牛樟
0,牛乳房炎
0,爬蟲類
0,營養與消費
0,營養系
0,營養棒
0,營養成分
0,營養成份
0,營養位階
0,營養
0,燃燒
0,熱緊迫
0,熱溫
0,熱帶森林
0,熟果甜椒
0,無子果
0,無人飛行載具
0,無人飛機載具
0,無人飛機
0,無人載具
0,焚風
0,烏龍麵
0,烏心石
0,烏來杜鵑
0,災後調適
0,災害風險評估
0,災害防治
0,災害防救作業手冊
0,災害調適
0,災害監測
0,災害熱點
0,災害潛勢分級
0,災害潛勢
0,災害減損技術
0,災害氣象臨界值
0,災害地圖
0,災害保險
0,災害
0,灌溉需水量
0,灌溉系統
0,灌溉管理技術
0,灌溉用水量
0,灌溉用水
0,灌溉水源
0,灌溉水品質
0,灌溉供水
0,灌溉
0,瀕絕植物
0,濕地
0,澱粉老化
0,澱粉糊化
0,澤蟹屬
0,澎湖群島
0,潛在植群
0,潛勢蒸發散量
0,漸近馴化
0,漁獲資料分析
0,漁獲平衡指數
0,漁海況
0,漁況分析
0,漁業資料庫
0,漁業
0,漁場
0,滴灌
0,溼地
0,溫度逆境
0,溫度
0,溫室氣體
0,溫室效應
0,溫室
0,湧昇流
0,湛水
0,減災技術
0,減災
0,淹水逆境
0,淹水災害
0,淹水
0,混農林業
0,混植
0,深層崩塌
0,淨化技術
0,消費者認知
0,消費潛能開發
0,消費對策
0,海草
0,海流
0,海洋酸化
0,海洋保護區
0,洋香瓜
0,洋蔥
0,沼氣
0,油茶
0,油脂精練
0,河川棲地模式
0,決策輔助系統
0,決策行為
0,決策支援系統
0,求償性序率規劃決策模式
0,永續經營
0,永續森林經營
0,永續土地管理
0,水鳥
0,水資源調配模式
0,水資源調配
0,水資源經理方案決策分析
0,水資源涵養
0,水資源智慧管理
0,水資源
0,水解指數
0,水稻遺傳多樣性
0,水稻自給率
0,水稻稻熱病
0,水稻病蟲害
0,水稻營養價值
0,水稻有害生物相
0,水稻強化栽培系統
0,水稻品種
0,水社柳
0,水田
0,水產動物
0,水產動植物資源
0,水生植物
0,水生動物
0,水溫
0,水文環境
0,水庫枯旱供水操作
0,水庫操作
0,水庫
0,水害
0,水土資源保育
0,水土流失
0,水分管理
0,水分含量
0,氣象記錄
0,氣象站
0,氣象環境
0,氣象災害管理
0,氣象
0,氣調貯藏
0,氣候降尺度模型
0,氣候變遷影響
0,氣候變化綱要公約第19次締約國會議暨京都議定書生效後第9屆簽約國會
0,氣候變化
0,氣候範圍模式
0,氣候暖化
0,氣候智慧農業
0,氣候因子
0,氣候
0,毛豆
0,步道經營管理
0,正鰹
0,次世代定序
0,櫻花
0,櫻
0,櫸樹
0,檢疫
0,機械傷害
0,機制與策略
0,樹豆
0,樹薯粉
0,樹木生長環
0,樹木栽植
0,模式評估
0,模式化模擬
0,樟樹
0,極端降雨
0,極端氣候
0,極端天候
0,楚南氏山椒魚
0,植群分布
0,植群
0,植生覆蓋
0,植物病理
0,植物生理
0,植物工廠
0,植物健康
0,植物保護劑
0,棲地適合度指標(HSI)
0,棲地適合度指標
0,棲地片段化
0,棲地片斷化
0,森林驗證
0,森林遊樂區
0,森林認證
0,森林經營
0,森林碳
0,森林界線
0,森林生態系
0,森林物種組成
0,森林教育
0,森林動態樣區
0,森林動態
0,森林健康
0,森林交會帶變動
0,森林
0,梨黑星病
0,梨穗品種
0,梨穗
0,梨木蝨
0,梨
0,桶柑
0,桃
0,栽培系統
0,栽培曆
0,栽培技術
0,栽培作業曆
0,栽培
0,根?
0,核心種原
0,柿
0,柑橘類作物
0,柑橘
0,柑桔
0,果樹
0,果實產量
0,果實品質
0,果實儲藏
0,果實保護資材
0,果實保護劑
0,林業觀光
0,林業經濟
0,林業文化
0,林業技術
0,林業合作
0,林下植物
0,枇杷
0,東方果實蠅
0,木頭之路
0,木瓜
0,木博物館
0,期作差異
0,有色米
0,有機青蔥
0,有機鉻
0,有機農業
0,有機溶劑奈米過濾
0,有害生物綜合防治
0,有害生物綜合管理
0,最大概似法
0,曾文水庫
0,暖冬
0,智慧理論
0,智慧型理論
0,智慧型??
0,景觀作物
0,普通貯藏
0,早期預警系統
0,早期預警
0,日燒
0,日照量
0,日本
0,旗魚
0,族群動態
0,新需求與市場
0,新糧食來源
0,新穎中式米麵條
0,文旦柚
0,文旦
0,改良式自組織線性輸出映射圖
0,支撐向量機
0,支援向量機
0,攜帶式光合作用葉綠素螢光分析儀
0,攔河堰
0,擴大消費
0,擠壓加工
0,損耗
0,損失評估
0,推算升糖指數
0,採穗嫁接
0,採收後處理
0,採收
0,授粉昆蟲
0,掃描式電子顯微鏡用微電腦斷層儀
0,指標物種
0,抵抗性篩選
0,抗老化
0,抗病性
0,技術推廣
0,承載力
0,扦插
0,應用
0,態度
0,情緒狀態量表
0,恆溫增幅法
0,忍受性
0,忌避植物
0,微膠囊化
0,微生物製劑
0,微氣候
0,微(粉)化
0,復育技術
0,復育
0,復耕
0,影像
0,彩色甜椒
0,彩色海芋
0,廣義線性模式
0,廢菇包
0,廢棄物
0,庫蠓
0,底棲魚類
0,底棲微藻
0,底拖網
0,序率模擬
0,幼苗期
0,幼穗分化期
0,年間環境變異
0,年間氣候變異
0,干擾
0,市場接受度
0,巴黎協定
0,崩塌潛勢
0,崩塌地
0,崩塌危險度
0,崩塌
0,山芹菜
0,山地湖沼
0,小麥品質
0,小麥
0,小農
0,小規模林業
0,小菜蛾
0,小胡瓜
0,小米
0,小型哺乳類
0,對策
0,專科訓練
0,寒害
0,寒冷害
0,寄接梨
0,家計單位糧食安全
0,家禽流行性感冒
0,家禽場
0,家禽
0,害蟲監測
0,害蟲
0,安全農業
0,安全管理技術
0,季風
0,存貨調查
0,媒介昆蟲
0,套袋
0,太陽能
0,太平洋
0,天然災害
0,天敵
0,大豆
0,大西洋
0,大蚊科
0,大目鮪
0,大型圍網漁業
0,夜蛾類
0,多親本多世代互交品系
0,多元利用
0,外科
0,外來種植食性昆蟲
0,外來入侵種
0,外來入侵物種
0,塑膠培養瓶
0,基礎生產力
0,培育苗木
0,埤池
0,城鄉地區
0,坡地防災
0,均衡飲食
0,地質鑽探
0,地理資訊系統
0,地理分布
0,地方調適
0,地下水
0,在地飼料資源
0,土砂災害
0,土石流
0,土壤診斷
0,土壤肥力
0,土壤管理組
0,土壤管理
0,土壤碳匯
0,土壤滲漏計
0,土壤氮素供應
0,土壤改良
0,土壤入滲量
0,土地適宜性
0,土地利用變遷
0,土地利用型態
0,圍籬植物
0,國際稻米研究所
0,國際研討會
0,國際研究合作
0,國際植群大會
0,國際合作研究
0,國際交流
0,國產農產品消費
0,國產農產品
0,國內供給分配
0,因應策略
0,因應氣候變遷
0,回歸水
0,噴霧系統
0,嗜牛庫蠓
0,品質
0,品種鑑定
0,品種
0,吸油率
0,合理化施肥
0,台美科技交流
0,台灣高山杜鵑
0,台灣水青岡
0,台灣招潮蟹
0,台灣冷杉
0,台灣
0,可計算一般均衡
0,可消化養分總量
0,可再生水資源
0,叢枝菌根菌
0,受害評估
0,取水可靠度
0,參考手冊
0,去勢波動分析法
0,原生蔬菜
0,原民蔬菜
0,危險度
0,印度洋
0,南瓜捲葉病毒
0,南瓜
0,南沙群島
0,南仁山
0,升糖指數
0,區域水資源
0,動物群聚
0,動物相
0,動物多樣性
0,動態樣區
0,加工
0,功能特徵
0,劍旗魚
0,劍尖槍魷
0,創新栽培技術
0,創意產業
0,副黏液病毒
0,副產物
0,刺鯧
0,刺吸式口器害蟲
0,分蘗盛期
0,分級分區
0,分子輔助選拔
0,分子標誌輔助選拔
0,分子標誌
0,凍傷
0,冷需求
0,冷藏需求
0,冷藏
0,冷凍麵糰
0,再創造
0,共棲生物相
0,六級產業
0,公共衛生
0,兩棲類
0,全紅番茄
0,全球高山環境觀測研究計畫
0,全球環流模式
0,全球氣候模式
0,全球暖化
0,全球入侵物種資訊網
0,全基因組關聯研究
0,內共生菌
0,光量度
0,光週期
0,光質
0,光合光通量密度
0,元素分析
0,儲藏
0,優質米
0,價值
0,健康管理
0,健康種苗
0,健康水稻
0,偏差校正
0,倒伏
0,保險
0,保育行動計畫
0,保育策略
0,保育優先次序
0,保育價值
0,供水承載力
0,供水
0,供應
0,作物高度模型
0,作物病蟲害診斷諮詢
0,作物病蟲害診斷
0,作物產量
0,作物生產模式
0,作物生產技術
0,作物生產力
0,作物生產
0,作物生理
0,作物營養
0,作物機制模式
0,作物模式
0,作物栽培曆
0,作物保險
0,作業曆
0,住院醫師
0,低需冷性梨
0,低溫逆境
0,低溫寒害
0,低溫害
0,低溫
0,低污染
0,低汙染
0,低投入
0,休耕
0,代謝能
0,介質
0,人畜共通疾病
0,人畜共通傳染病
0,亞磷酸
0,二氧化碳超臨界萃取
0,乾旱預警系統
0,乾旱
0,乳酸菌
0,乳牛
0,主要糧食消費
0,主成分分析法
0,中西太平洋
0,世界貿易組織
0,世界植物學大會
0,一般栽培作業曆
0,photosynthetic photon flux density
0,pear scions
0,k最近鄰居法
0,Yield
0,Weather Data
0,WTO
0,Taiwan beech
0,SWMM水文模式
0,SVM
0,SRI
0,SPI
0,Risk Analysis
0,Rice
0,Reducing Emissions from Deforestation and forest Degradation
0,Re-create
0,Rational Database Management System
0,RF)
0,Q熱
0,Observation
0,Nutrient Budget
0,Meteorological Station
0,Long Term Ecological Research
0,Kyoto Protocol
0,KNN
0,International Rice Research Institute
0,IAS
0,Health promotion
0,HSPF水文模式
0,Green Infrastructure
0,Geograpgical Information System
0,GTAP
0,GISIN
0,GHG
0,Forest industry relics exhibition
0,Forest Management
0,Foehn
0,Feohn
0,EBA
0,DSSAT作物生長模式
0,DSSAT作物模式
0,DNA條碼
0,Cultivation System
0,Conservation
0,Climate
0,Biodiversity
0,Agrometeorology Observation
0,Agrometeorological Disaster
0,Agrometeorological
0,Agricultural Ecoystem
0,Agricultural Ecosystem
